timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2882498,225.9791,45.14,98640.0,1.1720064
2904448,226.06364,45.14,98638.99,1.1719944
2915441,225.7228,45.14,98643.0,1.172042
2925437,226.2354,45.14,98637.0,1.1719707
2947436,225.89455,45.149998,98641.0,1.1720183
2958626,225.9791,45.149998,98640.0,1.1720064
2969436,225.89455,45.149998,98641.0,1.1720183
2991451,225.80998,45.16,98642.0,1.1720301
3002568,225.55368,45.16,98644.99,1.1720657
3013439,225.80998,45.16,98642.0,1.1720301
3035436,225.12827,45.16,98650.0,1.1721252
3045442,225.04372,45.16,98650.99,1.172137
3056459,225.46913,45.16,98646.0,1.1720777
3078537,225.7228,45.16,98643.0,1.172042
3089493,226.48906,45.16,98634.0,1.1719351
3100448,225.12827,45.16,98650.0,1.1721252
3121454,225.55368,45.17,98644.99,1.1720657
3132457,225.7228,45.17,98643.0,1.172042
3143486,225.89455,45.17,98641.0,1.1720183
3165454,225.9791,45.17,98640.0,1.1720064
3176454,225.9791,45.17,98640.0,1.1720064
3187455,225.80998,45.17,98642.0,1.1720301
3209480,225.46913,45.17,98646.0,1.1720777
3220455,225.46913,45.17,98646.0,1.1720777
3231454,225.63823,45.17,98644.0,1.1720539
3253456,225.55368,45.17,98644.99,1.1720657
3264454,226.06364,45.17,98638.99,1.1719944
3275472,225.63823,45.17,98644.0,1.1720539
3297557,225.55368,45.18,98644.99,1.1720657
3308455,225.7228,45.18,98643.0,1.172042
3319455,225.29738,45.18,98648.0,1.1721014
3341793,225.55368,45.19,98644.99,1.1720657
3352463,225.89455,45.19,98641.0,1.1720183
3363456,225.38457,45.19,98647.0,1.1720896
3385516,225.21281,45.19,98649.0,1.1721133
3396454,225.63823,45.19,98644.0,1.1720539
3407454,225.7228,45.19,98643.0,1.172042
3429552,225.7228,45.19,98643.0,1.172042
3440456,225.89455,45.19,98641.0,1.1720183
3451452,225.38457,45.19,98647.0,1.1720896
3472448,225.21281,45.19,98649.0,1.1721133
3483448,225.29738,45.19,98648.0,1.1721014
3494495,225.29738,45.19,98648.0,1.1721014
3515482,225.38457,45.2,98647.0,1.1720896
3525742,225.55368,45.2,98644.99,1.1720657
3536447,225.7228,45.2,98643.0,1.172042
3557436,225.63823,45.2,98644.0,1.1720539
3568436,225.55368,45.2,98644.99,1.1720657
3579436,225.38457,45.2,98647.0,1.1720896
3601441,225.7228,45.2,98643.0,1.172042
3611535,225.12827,45.2,98650.0,1.1721252
3622481,226.06364,45.2,98638.99,1.1719944
3644436,225.80998,45.2,98642.0,1.1720301
3654544,225.89455,45.2,98641.0,1.1720183
3665451,226.14821,45.2,98638.0,1.1719826
3687448,225.38457,45.2,98647.0,1.1720896
3698793,225.63823,45.2,98644.0,1.1720539
3709448,224.95915,45.2,98651.99,1.1721488
3731450,225.38457,45.21,98647.0,1.1720896
3742514,225.21281,45.21,98649.0,1.1721133
3753436,225.38457,45.21,98647.0,1.1720896
3775436,226.06364,45.21,98638.99,1.1719944
3786690,225.29738,45.21,98648.0,1.1721014
3797448,225.38457,45.21,98647.0,1.1720896
3820945,225.04372,45.21,98650.99,1.172137
3831972,225.46913,45.21,98646.0,1.1720777
3842550,225.46913,45.21,98646.0,1.1720777
3864164,225.46913,45.21,98646.0,1.1720777
3874530,225.29738,45.21,98648.0,1.1721014
3885437,225.55368,45.21,98644.99,1.1720657
3906534,225.29738,45.21,98648.0,1.1721014
3917449,225.63823,45.21,98644.0,1.1720539
