timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2880886,0.2609946,-0.17762838,0.38250294
2890455,0.2787621,-0.19201915,0.37897307
2900886,0.27167982,-0.18470523,0.37228924
2910455,0.2609951,-0.188457,0.38235113
2920897,0.26989895,-0.18292417,0.37399995
2930454,0.27700067,-0.16126694,0.37432525
2940886,0.2663381,-0.20101929,0.37711775
2950479,0.27345014,-0.17931464,0.37406138
2960886,0.27879277,-0.18465783,0.36892927
2970478,0.26987845,-0.18662852,0.38071266
2980886,0.27347124,-0.19004843,0.36714625
2990479,0.26633734,-0.18297158,0.37737077
3000887,0.26633734,-0.18297158,0.37737077
3011280,0.26633734,-0.18297158,0.37737077
3020887,0.26633734,-0.18297158,0.37737077
3031289,0.26633734,-0.18297158,0.37737077
3040887,0.26633734,-0.18297158,0.37737077
3051280,0.26633734,-0.18297158,0.37737077
3060900,0.26633734,-0.18297158,0.37737077
3069655,0.27523133,-0.18831477,0.37224948
3080907,0.28231362,-0.19562869,0.37893328
3089700,0.26102576,-0.1810957,0.37230733
3100920,0.26459804,-0.18821995,0.3654536
3110486,0.2609948,-0.18123794,0.38245234
3120078,0.2716795,-0.17748615,0.37239045
3129679,0.26986784,-0.17945687,0.38419557
3140108,0.27694982,-0.17955169,0.3909806
3149679,0.26634765,-0.18292417,0.3739891
3160106,0.2787521,-0.19928563,0.38225353
3169679,0.27162835,-0.18855181,0.38914698
3180079,0.2610156,-0.18475264,0.37563837
3189679,0.2805737,-0.18643889,0.36721852
3200079,0.26985702,-0.16867565,0.38772905
3209692,0.2539228,-0.17387661,0.37238687
3220054,0.26988894,-0.19019066,0.3772804
3229679,0.26103622,-0.18465783,0.36887506
3240054,0.28055245,-0.17209555,0.37418428
3249679,0.28408358,-0.18301898,0.38080662
3260054,0.26098415,-0.17406626,0.3859352
3269679,0.2822924,-0.18128535,0.38589904
3280054,0.26453564,-0.1776758,0.38589543
3289692,0.27877167,-0.17392403,0.3758444
3300054,0.28406277,-0.17950429,0.3876206
3309700,0.26809725,-0.17762838,0.38252464
3320054,0.2734705,-0.17200074,0.36739928
3329720,0.26809788,-0.19206655,0.38232222
