timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
716848756,716848,1,1,1,0,0,0,0,0
717849487,716848,1,1,1,0,0,0,0,0
718855021,716848,1,1,1,0,0,0,0,0
719859692,716848,1,1,1,0,0,0,0,0
720869000,716848,1,1,1,0,0,0,0,0
721869578,716848,1,1,1,0,0,0,0,0
722872933,716848,1,1,1,0,0,0,0,0
723881421,716848,1,1,1,0,0,0,0,0
724889419,716848,1,1,1,0,0,0,0,0
725892551,716848,1,1,1,0,0,0,0,0
726902990,716848,1,1,1,0,0,0,0,0
727904585,716848,1,1,1,0,0,0,0,0
728912585,716848,1,1,1,0,0,0,0,0
729920586,716848,1,1,1,0,0,0,0,0
730928402,716848,1,1,1,0,0,0,0,0
731936387,716848,1,1,1,0,0,0,0,0
732944505,716848,1,1,1,0,0,0,0,0
733952489,716848,1,1,1,0,0,0,0,0
734131773,716848,1,1,1,0,0,0,0,0
734155880,716848,1,1,1,0,0,0,0,0
734180169,716848,1,1,1,0,0,0,0,0
735189491,716848,1,1,1,0,0,0,0,0
736194726,716848,1,1,1,0,0,0,0,0
737205510,716848,1,1,1,0,0,0,0,0
738210191,716848,1,1,1,0,0,0,0,0
739211540,716848,1,1,1,0,0,0,0,0
740220663,716848,1,1,1,0,0,0,0,0
741223509,716848,1,1,1,0,0,0,0,0
742228685,716848,1,1,1,0,0,0,0,0
743229516,716848,1,1,1,0,0,0,0,0
744232760,716848,1,1,1,0,0,0,0,0
745241022,716848,1,1,1,0,0,0,0,0
746248729,716848,1,1,1,0,0,0,0,0
747256732,716848,1,1,1,0,0,0,0,0
748262130,716848,1,1,1,0,0,0,0,0
749270672,716848,1,1,1,0,0,0,0,0
750275825,716848,1,1,1,0,0,0,0,0
751282690,716848,1,1,1,0,0,0,0,0
752292293,716848,1,1,1,0,0,0,0,0
753300300,716848,1,1,1,0,0,0,0,0
754308370,716848,1,1,1,0,0,0,0,0
755316129,716848,1,1,1,0,0,0,0,0
756317955,716848,1,1,1,0,0,0,0,0
757321920,716848,1,1,1,0,0,0,0,0
758330837,716848,1,1,1,0,0,0,0,0
