timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
717079147,717079147,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717099100,717099100,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717123157,717123157,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717147119,717147119,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717167166,717167166,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717187184,717187184,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717211133,717211133,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717231931,717231931,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717252770,717252770,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717272729,717272729,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717292967,717292967,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717316752,717316752,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717340765,717340765,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717364756,717364756,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
