timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
717093622,0.0005026654,-0.0006613289,0.002907477,4000,0,0.20591551,0.29812604,-9.66588,4000
717097652,-0.0010128297,-0.001102792,0.0028815835,4030,0,0.2192336,0.2917133,-9.6552305,4030
717101629,5.899846e-05,-0.0009919972,0.0030008566,3977,0,0.20335054,0.29413906,-9.655041,3977
717105622,-4.11931e-06,-0.0007381633,0.0013062888,3993,0,0.21692525,0.29393798,-9.640036,3993
717109622,-0.002379094,-0.0020606087,0.0023009032,4000,0,0.22783993,0.28523037,-9.633244,4000
717113621,-0.0018588118,0.0004766843,0.002671225,3999,0,0.2232269,0.29572192,-9.633127,3999
717117640,-0.0016492432,-0.00025235428,0.002872606,4019,0,0.2152753,0.29610258,-9.629564,4019
717121628,-0.0018167135,-0.001608964,0.00135842,3988,0,0.20796114,0.28398013,-9.646095,3988
717125635,-0.00091054244,0.00017331495,0.0031121047,4007,0,0.20954305,0.27978265,-9.650873,4007
717129622,-0.00059481885,-0.0016473943,0.0034070439,3987,0,0.20338698,0.27556205,-9.656844,3987
717133622,-0.0011957681,-0.00055484916,0.0018143872,4000,0,0.20006223,0.27890354,-9.655854,4000
717137640,-0.00036930572,0.0012408503,0.0027178335,4018,0,0.18752682,0.2965153,-9.654433,4018
717141622,-0.00087276415,0.00040901962,0.0016228338,3982,0,0.19078398,0.30117393,-9.6490555,3982
717145637,-0.00047085335,-4.2752436e-05,0.0027944641,4015,0,0.20315824,0.2735819,-9.645486,4015
717149622,-0.001240955,-0.0014395127,0.003811854,3985,0,0.2050981,0.28923705,-9.646001,3985
717153628,0.00014332325,-0.00066524616,0.0032328942,4006,0,0.20180061,0.2864168,-9.64759,4006
717157640,-0.00042874832,-0.0012711312,0.00053935853,4012,0,0.19183215,0.2875782,-9.633533,4012
717161622,-0.00022761778,-0.00033395796,0.0010960988,3982,0,0.197491,0.28831157,-9.650061,3982
717165638,-0.0002400854,-0.0012914179,0.0020318602,4016,0,0.20853929,0.30163196,-9.651006,4016
717169622,-0.002228759,0.00022477059,0.00031128828,3984,0,0.1988072,0.2926654,-9.623298,3984
717173622,-0.0014046021,0.0024330113,0.0015392919,4000,0,0.19082378,0.3007247,-9.650961,4000
717177640,-0.000647907,-0.00076209416,0.001185051,4018,0,0.19270308,0.29927593,-9.6513815,4018
717181622,-0.0015110837,0.000411146,0.0016085407,3982,0,0.20934348,0.30332717,-9.6629,3982
717185651,-0.00065553683,-6.744967e-06,0.0013038042,4029,0,0.1970435,0.28548822,-9.649165,4029
717189622,-0.0010754731,0.0026517557,0.0011238531,3971,0,0.20300756,0.29402122,-9.618537,3971
717193628,-0.00043377708,-0.0013846019,0.0010639555,4006,0,0.20755191,0.28516534,-9.628948,4006
717197640,-0.0006812402,-0.0016287061,0.002771094,4012,0,0.21992595,0.2847164,-9.662865,4012
717201622,-0.0020722335,-0.001527332,0.0027359729,3982,0,0.21379541,0.30533677,-9.668892,3982
717205636,-0.0011365676,-0.0014374586,0.00382449,4014,0,0.18988574,0.29931343,-9.6524315,4014
717209635,0.00027891176,-0.00248004,0.0026637018,3999,0,0.20477748,0.2830937,-9.649996,3999
