timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
716848756,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
717849487,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
718855021,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
719859692,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
720869000,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
721869578,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
722872933,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
723881421,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
724889419,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
725892551,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
726902990,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
727904585,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
728912585,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
729920586,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
730928402,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
731936387,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
732944505,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
733952489,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
734131773,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
734155880,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
734180169,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
735189491,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
736194726,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
737205510,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
738210191,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
