timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
6940411,6940411,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
6963527,6963527,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
6986425,6986425,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7009531,7009531,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7032427,7032427,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7055492,7055492,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7078390,7078390,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7101384,7101384,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7124425,7124425,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7147622,7147622,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7170658,7170658,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7193547,7193547,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7216383,7216383,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7238374,7238374,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7260422,7260422,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7283491,7283491,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7306391,7306391,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7329617,7329617,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7352391,7352391,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7374387,7374387,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7397391,7397391,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7419488,7419488,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7441528,7441528,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7464447,7464447,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7487542,7487542,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
7508757,7508757,18,255,0,0,0,1511,1515,1094,1509,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
