timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
7500550,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8500672,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
9509570,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10511200,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
11512575,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
12219138,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
13219631,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14220945,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
15227364,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
16236697,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
17243175,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
18086320,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
19091594,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
20091785,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
21094952,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
22097226,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
23107493,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
24107789,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
25120410,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
26129903,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
27130605,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
28137326,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
29148387,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
30150099,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
31161021,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
32170316,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
33174204,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
34175168,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
35185335,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
36196240,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
37197573,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
38208659,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
39217607,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
40225820,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
41237238,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
42239718,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
43248933,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
44259887,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
45266794,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
46277588,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
47283820,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
48289118,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
49291960,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
50302015,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
51310804,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
52311063,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
