timestamp,P_X,P_Y,P_Z,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,status0,status1,fix_type,vel_ned_valid,satellites_used,gps_kind
24340395,0,0,0,0,282418524,1129934274,127667,110934,368269000,0.0,0.0,0,3,9.8550005,17.160002,0.79999995,0.0,0,0,0.049999997,-0.049999997,0.0,0.0,0.79862773,-24340395,2,2,3,1,15,3
24542109,0,0,0,0,282418488,1129934255,127721,110988,368269200,0.0,0.0,0,3,9.8550005,17.159,0.79999995,0.0,0,0,0.08,-0.07,-0.01,-0.04,0.76425326,-24542109,2,2,3,1,15,3
24740556,0,0,0,0,282418509,1129934254,127875,111142,368269400,0.0,0.0,0,3,9.8550005,17.158,0.79999995,0.0,0,0,0.04,-0.01,0.0,0.04,0.72225016,-24740556,2,2,3,1,15,3
24959646,0,0,0,0,282418892,1129934150,131656,114923,368269600,0.0,0.0,0,3,4.618,8.733001,0.79999995,3.8,0,0,0.099999994,-0.08,-0.02,0.049999997,0.68994486,-24959646,13,13,3,1,15,3
25160564,0,0,0,0,282418926,1129934158,131993,115260,368269800,0.0,0.0,0,3,3.4110003,6.5730004,0.79999995,3.8,0,0,0.03,0.0,-0.03,0.01,0.65665305,-25160564,13,13,3,1,15,3
25364528,0,0,0,0,282418935,1129934163,132220,115487,368270000,0.0,0.0,0,3,2.8290002,5.491,0.79999995,3.8,0,0,0.03,0.0,0.0,-0.03,0.6501531,-25364528,13,13,3,1,15,3
25556526,0,0,0,0,282418936,1129934163,132238,115505,368270200,0.0,0.0,0,3,2.47,4.8120003,0.79999995,3.8,0,0,0.08,-0.03,-0.03,0.06,0.64985186,-25556526,13,13,3,1,15,3
25760531,0,0,0,0,282418937,1129934163,132244,115511,368270400,0.0,0.0,0,3,2.22,4.335,0.79999995,3.8,0,0,0.049999997,-0.01,0.01,0.049999997,0.6520644,-25760531,13,13,3,1,15,3
25959526,0,0,0,0,282418942,1129934164,132238,115505,368270600,0.0,0.0,0,3,2.033,3.976,0.79999995,3.8,0,0,0.049999997,-0.04,0.01,0.03,0.6499941,-25959526,13,13,3,1,15,3
26162826,0,0,0,0,282418947,1129934166,132262,115530,368270800,0.0,0.0,0,3,1.8870001,3.6940002,0.79999995,3.8,0,0,0.04,-0.04,-0.01,0.0,0.64849555,-26162826,13,13,3,1,15,3
26362695,0,0,0,0,282418951,1129934168,132332,115599,368271000,0.0,0.0,0,3,1.7680001,3.4650002,0.79999995,3.8,0,0,0.06,0.02,0.0,0.049999997,0.6483636,-26362695,13,13,3,1,15,3
26563690,0,0,0,0,282418952,1129934168,132336,115603,368271200,0.0,0.0,0,3,1.6700001,3.2730002,0.79999995,3.8,0,0,0.049999997,-0.02,-0.01,0.04,0.6437266,-26563690,13,13,3,1,15,3
26755592,0,0,0,0,282418967,1129934175,132403,115670,368271400,0.0,0.0,0,3,1.5860001,3.1100001,0.79999995,3.8,0,0,0.04,-0.04,0.01,0.01,0.63192135,-26755592,13,13,3,1,15,3
26958681,0,0,0,0,282418978,1129934179,132435,115703,368271600,0.0,0.0,0,3,1.5130001,2.969,0.79999995,3.8,0,0,0.13,-0.01,-0.02,0.13,0.619703,-26958681,13,13,3,1,15,3
