timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
7500550,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8500672,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9509570,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10511200,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11512575,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12219138,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13219631,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14220945,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15227364,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16236697,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
17243175,3080239,2162703,3080239,15,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18086320,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
19091594,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20091785,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21094952,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22097226,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23107493,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
24107789,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
25120410,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
26129903,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27130605,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28137326,3080239,2162703,3080239,2,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
