timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
7434911,213.05287,42.26,98792.0,1.1738124
7456784,212.9683,42.26,98793.0,1.1738243
7466573,212.28923,42.26,98800.99,1.1739192
7477495,212.9683,42.26,98793.0,1.1738243
7499929,212.5429,42.26,98798.0,1.1738837
7510446,212.88376,42.26,98794.0,1.1738361
7521446,212.6301,42.26,98797.0,1.1738718
7542475,212.28923,42.27,98800.99,1.1739192
7553489,212.6301,42.27,98797.0,1.1738718
7564368,212.9683,42.27,98793.0,1.1738243
7585436,212.6301,42.27,98797.0,1.1738718
7596442,212.71465,42.27,98796.0,1.17386
7608123,212.88376,42.27,98794.0,1.1738361
7628452,212.3738,42.27,98800.0,1.1739074
7638439,212.45834,42.27,98799.0,1.1738956
7648440,212.5429,42.27,98798.0,1.1738837
7669436,212.6301,42.27,98797.0,1.1738718
7680802,212.79921,42.27,98794.99,1.1738479
7692150,212.5429,42.27,98798.0,1.1738837
7713436,212.79921,42.27,98794.99,1.1738479
7724779,213.22462,42.27,98790.0,1.1737887
7736147,212.6301,42.27,98797.0,1.1738718
7757441,212.71465,42.27,98796.0,1.17386
7768766,212.79921,42.27,98794.99,1.1738479
7780137,212.5429,42.27,98798.0,1.1738837
7801471,212.28923,42.28,98800.99,1.1739192
7812750,212.3738,42.28,98800.0,1.1739074
7824447,212.6301,42.28,98797.0,1.1738718
7846436,212.45834,42.28,98799.0,1.1738956
7856603,212.6301,42.28,98797.0,1.1738718
7868148,213.14006,42.28,98791.0,1.1738005
7889436,212.3738,42.28,98800.0,1.1739074
7900802,212.45834,42.28,98799.0,1.1738956
7912185,212.6301,42.28,98797.0,1.1738718
7933438,212.71465,42.28,98796.0,1.17386
7944749,212.71465,42.28,98796.0,1.17386
7956123,212.45834,42.28,98799.0,1.1738956
7977436,212.79921,42.28,98794.99,1.1738479
7989246,212.88376,42.28,98794.0,1.1738361
7999769,211.94838,42.28,98805.0,1.1739669
8021163,212.79921,42.27,98794.99,1.1738479
8032133,212.79921,42.27,98794.99,1.1738479
8042504,212.3738,42.27,98800.0,1.1739074
8064475,212.79921,42.28,98794.99,1.1738479
8074436,212.28923,42.28,98800.99,1.1739192
8085438,212.12013,42.28,98803.0,1.173943
8106859,212.12013,42.29,98803.0,1.173943
8117397,212.12013,42.29,98803.0,1.173943
8128100,212.28923,42.29,98800.99,1.1739192
8149492,212.6301,42.28,98797.0,1.1738718
8160439,212.5429,42.28,98798.0,1.1738837
8170463,212.5429,42.28,98798.0,1.1738837
8192506,212.5429,42.28,98798.0,1.1738837
8202445,212.20468,42.28,98801.99,1.1739311
8212812,212.6301,42.28,98797.0,1.1738718
8234436,212.28923,42.29,98800.99,1.1739192
8245511,212.71465,42.29,98796.0,1.17386
8256437,212.6301,42.29,98797.0,1.1738718
8280162,212.5429,42.28,98798.0,1.1738837
8290811,213.14006,42.28,98791.0,1.1738005
8301435,212.71465,42.28,98796.0,1.17386
8322436,212.03293,42.28,98804.0,1.173955
8333365,212.79921,42.28,98794.99,1.1738479
8344340,212.5429,42.28,98798.0,1.1738837
8364749,212.79921,42.28,98794.99,1.1738479
8376092,212.20468,42.28,98801.99,1.1739311
8386446,212.3738,42.28,98800.0,1.1739074
8408132,212.71465,42.28,98796.0,1.17386
8418436,212.28923,42.28,98800.99,1.1739192
8429439,212.45834,42.28,98799.0,1.1738956
8450439,212.03293,42.28,98804.0,1.173955
8461163,212.9683,42.28,98793.0,1.1738243
8473573,212.79921,42.28,98794.99,1.1738479
8496148,212.6301,42.28,98797.0,1.1738718
8506468,212.6301,42.28,98797.0,1.1738718
8516733,212.5429,42.28,98798.0,1.1738837
8538446,212.5429,42.28,98798.0,1.1738837
8548542,211.77927,42.28,98807.0,1.1739906
8560130,212.03293,42.28,98804.0,1.173955
8581161,212.79921,42.28,98794.99,1.1738479
8592172,212.5429,42.28,98798.0,1.1738837
8602849,212.45834,42.28,98799.0,1.1738956
8624670,212.45834,42.28,98799.0,1.1738956
8636659,212.5429,42.28,98798.0,1.1738837
8648314,212.28923,42.28,98800.99,1.1739192
8669153,212.3738,42.28,98800.0,1.1739074
8680147,212.45834,42.28,98799.0,1.1738956
8690838,212.6301,42.28,98797.0,1.1738718
8712089,212.3738,42.28,98800.0,1.1739074
8722436,212.6301,42.28,98797.0,1.1738718
8733436,212.3738,42.28,98800.0,1.1739074
8754448,212.71465,42.27,98796.0,1.17386
8765198,212.88376,42.27,98794.0,1.1738361
8776104,212.20468,42.27,98801.99,1.1739311
8796499,212.5429,42.28,98798.0,1.1738837
8808502,212.71465,42.28,98796.0,1.17386
8820877,212.3738,42.28,98800.0,1.1739074
8840502,212.03293,42.28,98804.0,1.173955
8850811,212.71465,42.28,98796.0,1.17386
8861502,212.6301,42.28,98797.0,1.1738718
8882502,212.88376,42.28,98794.0,1.1738361
8894007,212.6301,42.28,98797.0,1.1738718
8904524,212.20468,42.28,98801.99,1.1739311
8928131,212.5429,42.28,98798.0,1.1738837
8938866,212.28923,42.28,98800.99,1.1739192
8949436,212.5429,42.28,98798.0,1.1738837
8969436,212.45834,42.28,98799.0,1.1738956
8980510,212.71465,42.28,98796.0,1.17386
8992126,212.20468,42.28,98801.99,1.1739311
9012523,212.5429,42.27,98798.0,1.1738837
9024335,212.5429,42.27,98798.0,1.1738837
9034436,212.03293,42.27,98804.0,1.173955
9056445,212.3738,42.28,98800.0,1.1739074
9066439,212.3738,42.28,98800.0,1.1739074
9077439,212.3738,42.28,98800.0,1.1739074
9098436,212.03293,42.27,98804.0,1.173955
9109289,212.20468,42.27,98801.99,1.1739311
9120118,212.3738,42.27,98800.0,1.1739074
9141252,212.5429,42.27,98798.0,1.1738837
9152114,212.5429,42.27,98798.0,1.1738837
9162867,212.5429,42.27,98798.0,1.1738837
9184743,212.3738,42.28,98800.0,1.1739074
9196961,212.20468,42.28,98801.99,1.1739311
9208141,212.03293,42.28,98804.0,1.173955
9229435,212.20468,42.27,98801.99,1.1739311
9240443,212.71465,42.27,98796.0,1.17386
9250436,212.45834,42.27,98799.0,1.1738956
9272642,212.6301,42.27,98797.0,1.1738718
9284735,211.61015,42.27,98809.0,1.1740143
9294786,212.28923,42.27,98800.99,1.1739192
9317282,212.71465,42.27,98796.0,1.17386
9328165,212.3738,42.27,98800.0,1.1739074
9338786,211.86382,42.27,98806.0,1.1739787
9360146,212.45834,42.27,98799.0,1.1738956
9370436,212.12013,42.27,98803.0,1.173943
9381452,212.71465,42.27,98796.0,1.17386
9404826,211.86382,42.27,98806.0,1.1739787
9416132,211.86382,42.27,98806.0,1.1739787
9426487,212.03293,42.27,98804.0,1.173955
9448068,212.45834,42.27,98799.0,1.1738956
9458439,212.28923,42.27,98800.99,1.1739192
9468754,212.45834,42.27,98799.0,1.1738956
9490436,212.28923,42.27,98800.99,1.1739192
9500549,212.45834,42.27,98799.0,1.1738956
9512125,212.12013,42.27,98803.0,1.173943
9532556,212.12013,42.27,98803.0,1.173943
9544775,212.79921,42.27,98794.99,1.1738479
9554542,212.03293,42.27,98804.0,1.173955
9576343,212.03293,42.26,98804.0,1.173955
9586892,212.28923,42.26,98800.99,1.1739192
9596663,212.28923,42.26,98800.99,1.1739192
9618436,212.45834,42.27,98799.0,1.1738956
9629647,212.3738,42.27,98800.0,1.1739074
9640481,212.5429,42.27,98798.0,1.1738837
9664409,212.20468,42.27,98801.99,1.1739311
9674436,212.20468,42.27,98801.99,1.1739311
9684695,212.03293,42.27,98804.0,1.173955
9706447,212.03293,42.26,98804.0,1.173955
9717440,212.3738,42.26,98800.0,1.1739074
9728439,212.5429,42.26,98798.0,1.1738837
9752152,212.12013,42.27,98803.0,1.173943
9762436,212.03293,42.27,98804.0,1.173955
9773439,212.03293,42.27,98804.0,1.173955
9793436,212.03293,42.26,98804.0,1.173955
9804589,212.20468,42.26,98801.99,1.1739311
9816129,212.45834,42.26,98799.0,1.1738956
9837130,212.20468,42.26,98801.99,1.1739311
9848111,212.5429,42.26,98798.0,1.1738837
9858855,212.12013,42.26,98803.0,1.173943
9880780,212.20468,42.26,98801.99,1.1739311
9890548,212.20468,42.26,98801.99,1.1739311
9900798,212.03293,42.26,98804.0,1.173955
9920451,212.28923,42.26,98800.99,1.1739192
9933192,212.6301,42.26,98797.0,1.1738718
9944421,212.45834,42.26,98799.0,1.1738956
9968142,212.12013,42.26,98803.0,1.173943
9978448,212.12013,42.26,98803.0,1.173943
9988753,212.45834,42.26,98799.0,1.1738956
10010436,212.12013,42.26,98803.0,1.173943
10021436,211.94838,42.26,98805.0,1.1739669
10032442,212.9683,42.26,98793.0,1.1738243
10056134,212.03293,42.26,98804.0,1.173955
10066436,212.20468,42.26,98801.99,1.1739311
10076760,212.03293,42.26,98804.0,1.173955
10098446,212.20468,42.26,98801.99,1.1739311
10108789,212.3738,42.26,98800.0,1.1739074
10120129,212.3738,42.26,98800.0,1.1739074
10141526,212.03293,42.26,98804.0,1.173955
10152750,212.88376,42.26,98794.0,1.1738361
10162436,212.5429,42.26,98798.0,1.1738837
10182436,212.03293,42.26,98804.0,1.173955
10192444,212.3738,42.26,98800.0,1.1739074
10204647,212.20468,42.26,98801.99,1.1739311
10226594,212.03293,42.26,98804.0,1.173955
10237360,212.3738,42.26,98800.0,1.1739074
10248323,212.28923,42.26,98800.99,1.1739192
10268943,212.03293,42.26,98804.0,1.173955
10280212,212.5429,42.26,98798.0,1.1738837
10290811,212.20468,42.26,98801.99,1.1739311
10312163,212.28923,42.25,98800.99,1.1739192
