timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
14542547,1553415289799972,298046677,1065394325,251329,224667,0,0.245,2.362369,0,0,1.6610001,2.9440002,0.66999996,1.04,107,37,0.009000001,0.007,-0.007,-0.053000003,0.0,0,3,1,18
14757613,1553415289999973,298046677,1065394329,251272,224610,0,0.18,2.362371,0,0,1.6290001,2.8860002,0.66999996,1.04,107,37,0.016,-0.002,-0.016,0.0050000004,0.0,0,3,1,18
14954519,1553415290199971,298046676,1065394334,251214,224552,0,0.23500001,2.3623738,0,0,1.5990001,2.8300002,0.66999996,1.04,107,37,0.010000001,0.007,0.008,-0.038000003,0.0,0,3,1,18
15154488,1553415290399971,298046675,1065394338,251172,224510,0,0.16700001,2.3623755,0,0,1.5710001,2.778,0.66999996,1.04,107,33,0.020000001,0.015000001,0.013,-0.009000001,0.0,0,3,1,18
15353525,1553415290599971,298046674,1065394342,251113,224452,0,0.24300002,2.3623784,0,0,1.544,2.73,0.66999996,1.04,107,33,0.006,0.002,0.006,0.023000002,0.0,0,3,1,18
15553483,1553415290799971,298046673,1065394345,251075,224414,0,0.179,2.3623807,0,0,1.519,2.683,0.66999996,1.04,107,33,0.024,-0.017,-0.017,-0.004,0.0,0,3,1,18
15750486,1553415290999972,298046672,1065394348,251022,224361,0,0.22500001,2.3623834,0,0,1.4950001,2.641,0.66999996,1.04,107,33,0.039,0.015000001,-0.036000002,-0.033,0.0,0,3,1,18
15952598,1553415291199971,298046672,1065394350,250961,224299,0,0.23,2.362386,0,0,1.473,2.6020002,0.66999996,1.04,107,33,0.015000001,0.004,-0.015000001,0.040000003,0.0,0,3,1,18
16153529,1553415291399971,298046672,1065394353,250879,224217,0,0.24300002,2.3623888,0,0,1.452,2.5640001,0.66999996,1.04,107,35,0.018000001,-0.018000001,0.002,0.080000006,0.0,0,3,1,18
16354542,1553415291599971,298046673,1065394356,250786,224124,0,0.15900001,2.3623905,0,0,1.432,2.529,0.66999996,1.04,107,35,0.010000001,0.010000001,-0.004,-0.004,0.0,0,3,1,18
16555937,1553415291799971,298046673,1065394359,250733,224071,0,0.24000001,2.3623934,0,0,1.4130001,2.496,0.66999996,1.04,107,35,0.031000001,-0.016,0.027,0.047000002,0.0,0,3,1,18
16761483,1553415291999972,298046673,1065394361,250678,224017,0,0.24000001,2.3623965,0,0,1.3950001,2.4650002,0.66999996,1.04,107,35,0.025,0.024,-0.007,0.064,0.0,0,3,1,18
16961390,1553415292199971,298046673,1065394363,250641,223979,0,0.256,2.3623993,0,0,1.378,2.4350002,0.66999996,1.04,107,35,0.014,0.010000001,0.010000001,0.053000003,0.0,0,3,1,18
17146492,1553415292399971,298046673,1065394364,250603,223942,0,0.25100002,2.3624022,0,0,1.3610001,2.4060001,0.66999996,1.04,107,35,0.033,-0.014,0.030000001,0.085,0.0,0,3,1,18
17355856,1553415292599971,298046672,1065394365,250579,223918,0,0.24000001,2.3624048,0,0,1.345,2.377,0.66999996,1.04,107,35,0.017,-0.011000001,0.012,0.031000001,0.0,0,3,1,18
17554486,1553415292799971,298046671,1065394366,250549,223887,0,0.24100001,2.3624077,0,0,1.3290001,2.348,0.66999996,1.04,107,35,0.011000001,0.004,-0.011000001,0.07,0.0,0,3,1,18
17753595,1553415292999972,298046671,1065394367,250534,223872,0,0.149,2.3624094,0,0,1.3130001,2.321,0.66999996,1.04,107,35,0.025,0.024,0.0050000004,0.002,0.0,0,3,1,18
17953480,1553415293199971,298046671,1065394368,250521,223859,0,0.24400002,2.3624122,0,0,1.299,2.295,0.66999996,1.04,107,35,0.003,0.0,0.003,0.029000001,0.0,0,3,1,18
18154520,1553415293399970,298046671,1065394369,250508,223846,0,0.192,2.3624146,0,0,1.284,2.2700002,0.66999996,1.04,107,35,0.028,0.028,0.0,0.021000002,0.0,0,3,1,18
18350928,1553415293599970,298046671,1065394369,250502,223840,0,0.25,2.3624175,0,0,1.271,2.2450001,0.66999996,1.04,107,35,0.014,0.008,0.011000001,0.045,0.0,0,3,1,18
18553516,1553415293799970,298046671,1065394370,250474,223813,0,0.23300001,2.3624198,0,0,1.2570001,2.2210002,0.66999996,1.04,107,35,0.058000002,0.015000001,0.056,0.051000003,0.0,0,3,1,18
18774562,1553415293999971,298046671,1065394371,250461,223799,0,0.22500001,2.3624227,0,0,1.2440001,2.197,0.66999996,1.04,107,35,0.016,-0.001,-0.016,0.042000003,0.0,0,3,1,18
18956532,1553415294199970,298046671,1065394371,250446,223785,0,0.24100001,2.3624256,0,0,1.2310001,2.174,0.66999996,1.04,107,35,0.003,0.003,-0.002,0.054,0.0,0,3,1,18
19156722,1553415294399970,298046672,1065394372,250434,223772,0,0.24000001,2.3624284,0,0,1.2190001,2.1520002,0.66999996,1.04,107,34,0.040000003,-0.004,0.040000003,0.052,0.0,0,3,1,18
19358475,1553415294599970,298046672,1065394374,250402,223740,0,0.24700001,2.362431,0,0,1.207,2.13,0.66999996,1.04,107,34,0.031000001,0.017,0.026,0.071,0.0,0,3,1,18
19555632,1553415294799970,298046672,1065394374,250392,223731,0,0.21900001,2.3624334,0,0,1.1960001,2.1090002,0.66999996,1.04,107,34,0.058000002,-0.025,-0.053000003,-0.035,0.0,0,3,1,18
19752530,1553415294999971,298046673,1065394375,250381,223720,0,0.18,2.3624356,0,0,1.184,2.089,0.66999996,1.04,107,34,0.039,0.010000001,-0.038000003,0.001,0.0,0,3,1,18
19956481,1553415295199970,298046673,1065394375,250373,223712,0,0.178,2.3624382,0,0,1.174,2.0700002,0.66999996,1.04,107,34,0.047000002,-0.006,0.047000002,-0.017,0.0,0,3,1,18
20157487,1553415295399970,298046673,1065394376,250373,223711,0,0.192,2.36244,0,0,1.1630001,2.051,0.66999996,1.04,107,35,0.042000003,-0.035,0.022000002,0.030000001,0.0,0,3,1,18
20363586,1553415295599970,298046674,1065394377,250379,223717,0,0.171,2.3624423,0,0,1.153,2.033,0.66999996,1.04,107,35,0.018000001,0.011000001,-0.014,0.008,0.0,0,3,1,18
20568690,1553415295799970,298046674,1065394377,250395,223734,0,0.164,2.362444,0,0,1.143,2.016,0.66999996,1.04,107,35,0.008,0.007,-0.004,-0.0050000004,0.0,0,3,1,18
20792632,1553415295999971,298046675,1065394377,250423,223761,0,0.19000001,2.362446,0,0,1.1340001,1.9990001,0.66999996,1.04,107,35,0.022000002,0.011000001,0.019000001,0.004,0.0,0,3,1,18
