timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
7420436,-0.474713,-0.3012856,0.38482758
7442440,-0.474713,-0.3036078,0.3809539
7465505,-0.47351554,-0.3012856,0.3809539
7488500,-0.474713,-0.3001245,0.37837148
7510510,-0.47231808,-0.3036078,0.38353637
7532540,-0.47591045,-0.3036078,0.38224515
7556437,-0.474713,-0.2989634,0.38482758
7577475,-0.47351554,-0.3036078,0.3809539
7600129,-0.47231808,-0.3012856,0.38224515
7621447,-0.47112063,-0.3024467,0.38482758
7644449,-0.47231808,-0.3012856,0.3809539
7666463,-0.46752825,-0.3012856,0.3809539
7688439,-0.47112063,-0.29664123,0.37837148
7710477,-0.474713,-0.3012856,0.38224515
7732436,-0.47351554,-0.2989634,0.3861188
7754436,-0.47351554,-0.3036078,0.3809539
7776436,-0.47591045,-0.3012856,0.37708026
7798439,-0.47231808,-0.3024467,0.3796627
7820441,-0.47231808,-0.3001245,0.3796627
7841474,-0.46752825,-0.3024467,0.3796627
7864439,-0.47231808,-0.30593,0.3796627
7886446,-0.47351554,-0.30709106,0.38353637
7908439,-0.46992317,-0.30593,0.3809539
7930452,-0.47231808,-0.3047689,0.38353637
7952450,-0.47351554,-0.3036078,0.38482758
7974439,-0.474713,-0.3024467,0.38224515
7996578,-0.47231808,-0.3001245,0.38224515
8018436,-0.46992317,-0.3012856,0.3809539
8042572,-0.47351554,-0.29780233,0.3861188
8069408,-0.47112063,-0.3024467,0.3809539
8090446,-0.47231808,-0.30593,0.3796627
8114468,-0.4687257,-0.30593,0.37708026
8138510,-0.47231808,-0.30709106,0.3809539
8162436,-0.474713,-0.30709106,0.3796627
8186436,-0.46992317,-0.30593,0.37837148
8208447,-0.47231808,-0.30709106,0.3809539
8229436,-0.47231808,-0.3024467,0.38353637
8253469,-0.46992317,-0.3024467,0.38224515
8276672,-0.46992317,-0.3024467,0.3809539
8298449,-0.47351554,-0.3024467,0.37837148
8320450,-0.47112063,-0.30593,0.37837148
8340699,-0.474713,-0.30941325,0.37578905
8362435,-0.47351554,-0.30825216,0.3796627
8386514,-0.4687257,-0.30593,0.37708026
8410464,-0.47112063,-0.30709106,0.3809539
8434447,-0.47351554,-0.30709106,0.37837148
8456438,-0.47231808,-0.30593,0.37837148
8477164,-0.46992317,-0.30709106,0.3809539
8498436,-0.47112063,-0.3036078,0.3809539
8520171,-0.474713,-0.3024467,0.37708026
8544473,-0.46992317,-0.3024467,0.38224515
8565436,-0.47351554,-0.3036078,0.38224515
8589172,-0.4687257,-0.3036078,0.37837148
8610436,-0.47231808,-0.30593,0.38224515
8632463,-0.4663308,-0.3036078,0.3796627
8653465,-0.4687257,-0.3047689,0.3809539
8676965,-0.4687257,-0.3036078,0.38482758
8698450,-0.46752825,-0.3036078,0.3809539
8722499,-0.47231808,-0.3001245,0.37837148
8746447,-0.47231808,-0.3047689,0.3809539
8768167,-0.47231808,-0.3036078,0.38353637
8792469,-0.4687257,-0.3024467,0.38224515
8816447,-0.46992317,-0.3024467,0.38353637
8837435,-0.47231808,-0.3024467,0.3809539
8858448,-0.46992317,-0.3012856,0.3861188
8880056,-0.46992317,-0.3036078,0.38870123
8900525,-0.4687257,-0.3012856,0.38482758
8924665,-0.46992317,-0.2989634,0.38353637
8946448,-0.47112063,-0.3024467,0.38482758
8969588,-0.47231808,-0.3001245,0.38482758
8992352,-0.47231808,-0.2989634,0.38999245
9012633,-0.474713,-0.3001245,0.38482758
9034504,-0.474713,-0.3012856,0.38224515
9058449,-0.47950286,-0.3012856,0.38224515
9082447,-0.47112063,-0.2989634,0.38482758
9104440,-0.47231808,-0.3001245,0.38353637
9125477,-0.47231808,-0.3036078,0.3809539
9148957,-0.47112063,-0.3047689,0.3796627
9170448,-0.47231808,-0.3036078,0.38482758
9192454,-0.47112063,-0.3024467,0.38224515
9213459,-0.47710794,-0.2989634,0.37837148
9234440,-0.47351554,-0.29780233,0.3809539
9256444,-0.46992317,-0.3001245,0.37837148
9280443,-0.47710794,-0.3012856,0.38224515
9302504,-0.46992317,-0.3036078,0.38224515
9325270,-0.47591045,-0.29780233,0.3809539
9346483,-0.47351554,-0.3036078,0.38224515
9370499,-0.47112063,-0.3012856,0.3796627
9394435,-0.47591045,-0.2989634,0.3796627
9416411,-0.47112063,-0.3001245,0.38482758
9437556,-0.47351554,-0.29664123,0.3809539
9461446,-0.47231808,-0.3024467,0.3796627
9482439,-0.47231808,-0.3001245,0.37708026
9504508,-0.4783054,-0.3001245,0.3796627
9528445,-0.47112063,-0.2989634,0.3809539
9552120,-0.47351554,-0.2989634,0.38224515
9572571,-0.47351554,-0.3001245,0.3796627
9594497,-0.47112063,-0.3001245,0.38224515
9618504,-0.4687257,-0.3012856,0.38224515
9642482,-0.4687257,-0.3012856,0.38482758
9664482,-0.47351554,-0.3012856,0.3809539
9684763,-0.4687257,-0.3047689,0.37708026
9706515,-0.47112063,-0.3047689,0.37708026
9730448,-0.47351554,-0.3036078,0.37708026
9752372,-0.474713,-0.29664123,0.38353637
9776440,-0.47231808,-0.29780233,0.38353637
9798436,-0.4687257,-0.3001245,0.3809539
9821011,-0.47231808,-0.3001245,0.37837148
9845145,-0.47351554,-0.3012856,0.38224515
9866446,-0.4687257,-0.3012856,0.3809539
9888114,-0.47112063,-0.3012856,0.3809539
9910529,-0.47112063,-0.3001245,0.38224515
